Category	Contracts in Effect	Date
Political Ad	246	2014-06-30
Political Ad	242	2014-07-01
Political Ad	259	2014-07-02
Political Ad	254	2014-07-03
Political Ad	216	2014-07-04
Political Ad	211	2014-07-05
Political Ad	225	2014-07-06
Political Ad	337	2014-07-07
Political Ad	404	2014-07-08
Political Ad	433	2014-07-09
Political Ad	477	2014-07-10
Political Ad	488	2014-07-11
Political Ad	490	2014-07-12
Political Ad	509	2014-07-13
Political Ad	670	2014-07-14
Political Ad	719	2014-07-15
Political Ad	747	2014-07-16
Political Ad	791	2014-07-17
Political Ad	789	2014-07-18
Political Ad	795	2014-07-19
Political Ad	788	2014-07-20
Political Ad	775	2014-07-21
Political Ad	801	2014-07-22
Political Ad	745	2014-07-23
Political Ad	785	2014-07-24
Political Ad	812	2014-07-25
Political Ad	794	2014-07-26
Political Ad	796	2014-07-27
Political Ad	844	2014-07-28
Political Ad	878	2014-07-29
Political Ad	953	2014-07-30
Political Ad	992	2014-07-31
Political Ad	1011	2014-08-01
Political Ad	1023	2014-08-02
Political Ad	1006	2014-08-03
Political Ad	1119	2014-08-04
Political Ad	1167	2014-08-05
Political Ad	1043	2014-08-06
Political Ad	990	2014-08-07
Political Ad	974	2014-08-08
Political Ad	739	2014-08-09
Political Ad	580	2014-08-10
Political Ad	597	2014-08-11
Political Ad	633	2014-08-12
Political Ad	598	2014-08-13
Political Ad	615	2014-08-14
Political Ad	630	2014-08-15
Political Ad	619	2014-08-16
Political Ad	628	2014-08-17
Political Ad	674	2014-08-18
Political Ad	723	2014-08-19
Political Ad	752	2014-08-20
Political Ad	784	2014-08-21
Political Ad	808	2014-08-22
Political Ad	806	2014-08-23
Political Ad	793	2014-08-24
Political Ad	826	2014-08-25
Political Ad	790	2014-08-26
Political Ad	761	2014-08-27
Political Ad	753	2014-08-28
Political Ad	737	2014-08-29
Political Ad	733	2014-08-30
Political Ad	723	2014-08-31
Political Ad	735	2014-09-01
Political Ad	933	2014-09-02
Political Ad	991	2014-09-03
Political Ad	1005	2014-09-04
Political Ad	1018	2014-09-05
Political Ad	1019	2014-09-06
Political Ad	1023	2014-09-07
Political Ad	1117	2014-09-08
Political Ad	1129	2014-09-09
Political Ad	1047	2014-09-10
Political Ad	1074	2014-09-11
Political Ad	1116	2014-09-12
Political Ad	1101	2014-09-13
Political Ad	1101	2014-09-14
Political Ad	1175	2014-09-15
Political Ad	1186	2014-09-16
Political Ad	1263	2014-09-17
Political Ad	1296	2014-09-18
Political Ad	1339	2014-09-19
Political Ad	1330	2014-09-20
Political Ad	1319	2014-09-21
Political Ad	1417	2014-09-22
Political Ad	1518	2014-09-23
Political Ad	1567	2014-09-24
Political Ad	1602	2014-09-25
Political Ad	1626	2014-09-26
Political Ad	1603	2014-09-27
Political Ad	1609	2014-09-28
Political Ad	1739	2014-09-29
Political Ad	1805	2014-09-30
Political Ad	1900	2014-10-01
Political Ad	1956	2014-10-02
Political Ad	1986	2014-10-03
Political Ad	1943	2014-10-04
Political Ad	1949	2014-10-05
Political Ad	2182	2014-10-06
Political Ad	2289	2014-10-07
Political Ad	2397	2014-10-08
Political Ad	2425	2014-10-09
Political Ad	2479	2014-10-10
Political Ad	2463	2014-10-11
Political Ad	2490	2014-10-12
Political Ad	2656	2014-10-13
Political Ad	2917	2014-10-14
Political Ad	3072	2014-10-15
Political Ad	3124	2014-10-16
Political Ad	3168	2014-10-17
Political Ad	3196	2014-10-18
Political Ad	3209	2014-10-19
Political Ad	3487	2014-10-20
Political Ad	3641	2014-10-21
Political Ad	3772	2014-10-22
Political Ad	3879	2014-10-23
Political Ad	3996	2014-10-24
Political Ad	4072	2014-10-25
Political Ad	4071	2014-10-26
Political Ad	4323	2014-10-27
Political Ad	4641	2014-10-28
Political Ad	5012	2014-10-29
Political Ad	5216	2014-10-30
Political Ad	5393	2014-10-31
Political Ad	5436	2014-11-01
Political Ad	5488	2014-11-02
Political Ad	5331	2014-11-03
Political Ad	3661	2014-11-04
